Transaction ID,Timestamp,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status
4d3db980-46cd-4158-a812-dcb77055d0d2,2024-06-22 04:06:38,Tiya Mall,4161803452@okaxis,Mohanlal Golla,7776849307@okybl,3907.34,FAILED
099ee548-2fc1-4811-bf92-559c467ca792,2024-06-19 06:04:49,Mohanlal Bakshi,8908837379@okaxis,Mehul Sankaran,7683454560@okaxis,8404.55,SUCCESS
d4c05732-6b1b-4bab-90b9-efe09d252b99,2024-06-04 04:56:09,Kismat Bora,4633654150@okybl,Diya Goel,2598130823@okicici,941.88,SUCCESS
e8df92ee-8b04-4133-af5a-5f412180c8ab,2024-06-09 09:56:07,Ayesha Korpal,7018842771@okhdfcbank,Rhea Kothari,2246623650@okaxis,8926.0,SUCCESS
e7d675d3-04f1-419c-a841-7a04662560b7,2024-06-25 08:38:19,Jivin Batta,1977143985@okybl,Baiju Issac,5245672729@okybl,2800.55,SUCCESS
865cfff6-e345-4bae-a4ed-2c35c3a67fc7,2024-06-17 11:24:02,Kismat Rama,5438757524@okicici,Pihu Walia,7567741566@okicici,1865.15,SUCCESS
10b78cb6-0a05-429a-8cf5-7ac40b97cd37,2024-06-24 20:15:13,Ivana Tak,0518391082@okaxis,Ehsaan Baria,2677492476@okhdfcbank,4829.13,SUCCESS
2582bdc0-4ea3-4a92-8329-72cd84b429f6,2024-06-23 13:01:51,Sara Khanna,8203474864@oksbi,Tiya Virk,9427710364@oksbi,4680.11,FAILED
9a981fdf-f953-4fc6-8a7d-bfc26f1ea4dc,2024-06-30 08:43:40,Anvi Dalal,8893886778@okhdfcbank,Pari Lal,0762409234@okaxis,1563.3,FAILED
718cebcd-cec3-49d5-a24b-d4f6df6ca25f,2024-06-24 09:15:27,Rasha Das,3530841200@okicici,Advik Mahal,2825774999@oksbi,6248.55,SUCCESS
f7392e11-52b1-49b0-8da8-e71128d99808,2024-06-05 18:39:04,Sumer Chandran,2881077862@oksbi,Amira Yohannan,3359034997@okicici,1272.55,FAILED
35f5cee7-d7a2-42a7-b94f-1d3e54b0bd2e,2024-06-17 17:16:50,Raghav Sridhar,5240349344@okhdfcbank,Shayak Jain,0884485131@okaxis,5465.41,FAILED
71ef7fd4-ea73-432e-9f9d-23ce85d33048,2024-06-28 18:08:24,Nirvaan Zachariah,1391606006@okhdfcbank,Ranbir Shukla,6956979142@okicici,5858.65,SUCCESS
24159fef-1532-4cef-baf2-a5270e6e61e0,2024-06-28 21:06:52,Rohan Gola,2532387543@okhdfcbank,Gatik Khare,0523734464@okicici,4246.53,SUCCESS
00dd618c-2382-462d-88c5-869eb096094f,2024-06-06 16:30:12,Eshani Bail,5552406857@okybl,Kabir Wagle,7164137631@okybl,6305.8,SUCCESS
9a986a12-b24f-4269-9ec8-5b4c73212d05,2024-06-25 00:44:58,Prisha Hora,6719880414@okaxis,Krish Toor,1855834514@okybl,5564.58,FAILED
ea5862f0-0edf-4490-976a-958e9799a21c,2024-06-24 04:52:50,Eshani Ram,3559104422@okicici,Dhanush Tailor,2606165966@okhdfcbank,262.72,SUCCESS
299a7bf0-12e0-4f32-85bd-ae7f4ac7af90,2024-06-07 22:14:24,Nitara Yogi,6536690172@okhdfcbank,Nitya Balay,8821754441@okicici,151.42,FAILED
c03ec1e5-e536-43b4-bf71-71fa84fc4b91,2024-06-20 14:07:14,Raunak Jaggi,4135909907@oksbi,Neysa Salvi,1977155980@okicici,3787.73,FAILED
7eddc148-8755-4901-b31d-8ba5ee895860,2024-07-01 03:57:18,Rati Sawhney,0595448518@oksbi,Drishya Bava,8231626532@okybl,2675.65,SUCCESS
46982aee-d402-46bd-96f1-2a181bdd9e78,2024-06-24 00:37:36,Samaira Mand,4726181930@okicici,Eva Chander,6348447507@okicici,5770.18,SUCCESS
6f4d28fd-cb6e-465e-8b18-225b2e743da9,2024-06-25 00:18:04,Anika Deep,5289057366@okicici,Anya Rege,6677358228@okicici,1368.23,FAILED
94aa141e-9f72-44e6-a89c-b18cac10ad48,2024-06-17 13:34:42,Anika Keer,8216661258@okybl,Samiha Aurora,2394946306@okaxis,9755.14,FAILED
96a6ad56-a9ed-4846-aca4-8ec1b347e36c,2024-06-25 21:25:26,Jivika Som,3366114259@okhdfcbank,Kashvi Trivedi,4763420675@okybl,9793.67,SUCCESS
f71fe071-6e1b-451a-b920-01bd3269e671,2024-06-08 02:56:39,Fateh Baria,7347638593@okaxis,Stuvan Dugar,2601378232@okhdfcbank,8711.28,SUCCESS
9c2b53dc-67ad-42e7-8e9a-c820ebbff436,2024-06-15 16:52:14,Jiya Doctor,0127000399@oksbi,Anika Sabharwal,5259795433@okicici,3834.76,FAILED
8e0d1d4b-19cb-4cc2-9e31-add15e2cb1c3,2024-06-13 20:10:23,Siya Devan,5170820251@okaxis,Uthkarsh Din,2263280899@okicici,6623.49,FAILED
b637de05-3938-4237-aecf-aa84b48d7241,2024-06-25 17:19:17,Kaira Tak,4023006701@okhdfcbank,Aarna Ramakrishnan,5362362942@okhdfcbank,3511.64,FAILED
edfe1019-862d-449e-b182-67b5456859f2,2024-06-20 21:10:26,Aniruddh Bal,0667745276@oksbi,Oorja Jaggi,3451825630@oksbi,6323.06,FAILED
507094df-3626-4c20-8de8-a301d7ce4d3d,2024-06-09 17:54:22,Anahita Korpal,7024829873@okicici,Pihu Kothari,1794447656@oksbi,8617.89,SUCCESS
020c2eb7-8f47-454a-9b02-14ba21afeb3c,2024-07-02 13:07:05,Samaira Reddy,9502175475@okhdfcbank,Sana Gopal,6953227403@okybl,741.65,FAILED
fbc3e382-39c5-4e65-bf1d-9ab5a5e2a22e,2024-06-10 20:03:14,Nirvaan Din,8202041700@okicici,Hrishita Chhabra,9092430046@okhdfcbank,7737.8,SUCCESS
